Car_Ad,Car_Brand,year,km_driven,fuel,seller_type,transmission,owner,engine,horsepower,seats,selling_price
Honda City V MT,Honda,2012,120000,Petrol,Individual,Manual,First Owner,1497,116.3,five,550000
Maruti Swift Dzire LDI,Maruti,2018,120000,Diesel,Individual,Manual,First Owner,1248,74.02,five,550000
Maruti Swift Dzire VDI,Maruti,2013,120000,Diesel,Individual,Manual,Second Owner,1248,74,five,530000
Hyundai i20 Active 1.2 SX with AVN,Hyundai,2016,120000,Petrol,Individual,Manual,Second Owner,1197,81.86,five,530000
Maruti Swift VDI Optional,Maruti,2015,120000,Diesel,Individual,Manual,First Owner,1248,74,five,530000
Maruti Swift VDI Optional,Maruti,2015,120000,Diesel,Individual,Manual,First Owner,1248,74,five,530000
Hyundai i20 Asta 1.4 CRDi,Hyundai,2012,120000,Diesel,Individual,Manual,First Owner,1396,88.73,five,525000
Nissan Terrano XV 110 PS,Nissan,2014,120000,Diesel,Individual,Manual,Second Owner,1461,108.5,five,525000
Nissan Terrano XV 110 PS,Nissan,2014,120000,Diesel,Individual,Manual,Second Owner,1461,108.5,five,525000
Honda City i VTEC V,Honda,2015,120000,Petrol,Individual,Manual,Second Owner,1497,117.3,five,525000
Hyundai i20 Asta 1.4 CRDi,Hyundai,2012,120000,Diesel,Individual,Manual,First Owner,1396,88.73,five,525000
Renault Duster 85PS Diesel RxE,Renault,2014,120000,Diesel,Individual,Manual,First Owner,1461,83.8,five,520000
Volkswagen Vento 1.5 TDI Comfortline,Volkswagen,2015,120000,Diesel,Individual,Manual,Second Owner,1498,103.2,five,515000
Hyundai i20 Asta 1.2,Hyundai,2015,120000,Petrol,Individual,Manual,Second Owner,1197,81.83,five,515000
Mercedes-Benz New C-Class C 220 CDI Elegance AT,Mercedes-Benz,2008,120000,Diesel,Individual,Automatic,Second Owner,2143,170,five,515000
Hyundai Xcent 1.1 CRDi S,Hyundai,2016,120000,Diesel,Individual,Manual,First Owner,1120,71,five,509999
Hyundai Verna 1.6 CRDi EX AT,Hyundai,2013,120000,Diesel,Individual,Automatic,Second Owner,1582,126.3,five,509999
Maruti Swift Dzire VDI,Maruti,2014,120000,Diesel,Individual,Manual,Second Owner,1248,74,five,500000
Honda CR-V 2.4L 4WD AT,Honda,2009,120000,Petrol,Individual,Automatic,Second Owner,2354,158.8,five,500000
Maruti Swift Dzire VDI,Maruti,2015,120000,Diesel,Individual,Manual,First Owner,1248,74,five,500000
Hyundai Sonata CRDi M/T,Hyundai,2010,120000,Diesel,Individual,Manual,Second Owner,1991,150,five,500000
Hyundai Grand i10 1.2 Kappa Sportz BSIV,Hyundai,2018,120000,Petrol,Individual,Manual,First Owner,1197,81.86,five,500000
Renault Fluence Diesel E4,Renault,2012,120000,Diesel,Individual,Manual,Second Owner,1461,78,five,500000
Mercedes-Benz New C-Class 200 K AT,Mercedes-Benz,2007,120000,Petrol,Individual,Automatic,First Owner,1796,178,five,500000
Renault Duster Adventure Edition,Renault,2014,120000,Diesel,Individual,Manual,First Owner,1461,108.45,five,500000
Renault Duster 85PS Diesel RxE,Renault,2014,120000,Diesel,Individual,Manual,First Owner,1461,83.8,five,500000
Toyota Etios GD,Toyota,2015,120000,Diesel,Individual,Manual,First Owner,1364,67.05,five,475000
Maruti Swift VDI,Maruti,2013,120000,Diesel,Individual,Manual,Third Owner,1248,74,five,470000
Maruti Swift Dzire VDI,Maruti,2014,120000,Diesel,Individual,Manual,Second Owner,1248,74,five,465000
Mahindra Scorpio Gateway 2WD,Mahindra,2013,120000,Diesel,Individual,Manual,Second Owner,2609,115,five,459999
Toyota Etios Liva GD,Toyota,2013,120000,Diesel,Individual,Manual,First Owner,1364,67.06,five,451000
Maruti Swift Star VDI,Maruti,2013,120000,Diesel,Individual,Manual,Second Owner,1248,74,five,450000
Hyundai Verna 1.6 SX,Hyundai,2012,120000,Diesel,Individual,Manual,Second Owner,1582,126.32,five,450000
Maruti Swift Dzire VDI,Maruti,2013,120000,Diesel,Individual,Manual,Second Owner,1248,74,five,450000
Fiat Avventura MULTIJET Emotion,Fiat,2015,120000,Diesel,Individual,Manual,First Owner,1248,91.72,five,450000
Toyota Corolla Altis Diesel D4DG,Toyota,2010,120000,Diesel,Individual,Manual,Second Owner,1364,87.2,five,450000
Renault Scala Diesel RxZ,Renault,2013,120000,Diesel,Individual,Manual,First Owner,1461,84.8,five,434999
Toyota Etios Liva GD,Toyota,2014,120000,Diesel,Individual,Manual,First Owner,1364,67.04,five,430999
Maruti Swift Dzire LDi,Maruti,2011,120000,Diesel,Individual,Manual,Second Owner,1248,73.9,five,430000
Maruti Swift Dzire LDI,Maruti,2016,120000,Diesel,Individual,Manual,Third Owner,1248,74,five,425000
Volkswagen Jetta 2.0L TDI Highline,Volkswagen,2011,120000,Diesel,Individual,Manual,Second Owner,1968,138.1,five,425000
Maruti Swift Dzire VXi AT,Maruti,2012,120000,Petrol,Individual,Automatic,First Owner,1197,85.8,five,420000
Maruti Swift Dzire VDi,Maruti,2012,120000,Diesel,Individual,Manual,Second Owner,1248,73.9,five,420000
Toyota Etios GD,Toyota,2014,120000,Diesel,Individual,Manual,First Owner,1364,67.04,five,420000
Maruti Swift Dzire VDI,Maruti,2014,120000,Diesel,Individual,Manual,Second Owner,1248,74,five,420000
Maruti Ritz LDi,Maruti,2016,120000,Diesel,Individual,Manual,First Owner,1248,73.94,five,409999
Renault Duster 110PS Diesel RxL,Renault,2012,120000,Diesel,Individual,Manual,Third Owner,1461,108.45,five,400000
Toyota Etios GD,Toyota,2014,120000,Diesel,Individual,Manual,Second Owner,1364,67.04,five,400000
Volkswagen Vento Diesel Highline,Volkswagen,2013,120000,Diesel,Individual,Manual,Second Owner,1598,103.6,five,400000
Maruti Swift Dzire VXI,Maruti,2014,120000,Petrol,Individual,Manual,First Owner,1197,85.8,five,400000
Toyota Etios GD,Toyota,2014,120000,Diesel,Individual,Manual,Second Owner,1364,67.04,five,400000
Honda CR-V 2.4L 4WD MT,Honda,2008,120000,Petrol,Individual,Manual,First Owner,2354,158.8,five,400000
Maruti Eeco 5 Seater AC BSIV,Maruti,2017,120000,Petrol,Individual,Manual,First Owner,1196,73,five,400000
Hyundai Verna 1.6 SX,Hyundai,2012,120000,Diesel,Individual,Manual,First Owner,1582,126.32,five,395000
Maruti Swift VDI BSIV,Maruti,2014,120000,Diesel,Individual,Manual,First Owner,1248,74,five,395000
Volkswagen Polo 1.5 TDI Highline,Volkswagen,2014,120000,Diesel,Individual,Manual,Second Owner,1498,88.8,five,391000
Ford Fiesta Diesel Style,Ford,2012,120000,Diesel,Individual,Manual,First Owner,1498,88.7,five,390000
Maruti Swift VDI,Maruti,2013,120000,Diesel,Individual,Manual,First Owner,1248,74,five,390000
Maruti Swift Dzire VXI,Maruti,2013,120000,Petrol,Individual,Manual,First Owner,1197,85.8,five,385000
Maruti Swift Dzire ZDi,Maruti,2009,120000,Diesel,Individual,Manual,First Owner,1248,73.9,five,382000
Mahindra Verito 1.5 D4 BSIV,Mahindra,2015,120000,Diesel,Individual,Manual,Second Owner,1461,65,five,380000
Volkswagen Polo 1.2 MPI Comfortline,Volkswagen,2016,120000,Petrol,Individual,Manual,Second Owner,1199,74,five,375000
Maruti Eeco 5 Seater AC BSIV,Maruti,2016,120000,Petrol,Individual,Manual,First Owner,1196,73,five,375000
Skoda Rapid 1.5 TDI Ambition,Skoda,2014,120000,Diesel,Individual,Manual,Second Owner,1498,103.52,five,370000
Mahindra Scorpio M2DI,Mahindra,2012,120000,Diesel,Individual,Manual,Second Owner,2179,115,five,370000
Hyundai i20 Asta 1.2,Hyundai,2013,120000,Petrol,Individual,Manual,First Owner,1197,82.85,five,370000
Honda Amaze S i-Dtech,Honda,2015,120000,Diesel,Individual,Manual,First Owner,1498,98.6,five,365000
Maruti Eeco CNG 5 Seater AC BSIV,Maruti,2019,120000,CNG,Individual,Manual,Second Owner,1196,61.7,five,362000
Maruti Swift Vdi BSIII,Maruti,2010,120000,Diesel,Individual,Manual,Second Owner,1248,75,five,360000
Hyundai Xcent 1.1 CRDi S,Hyundai,2015,120000,Diesel,Individual,Manual,First Owner,1120,71,five,360000
Tata Tiago Wizz 1.05 Revotorq,Tata,2017,120000,Diesel,Individual,Manual,First Owner,1047,69,five,350000
Mahindra Scorpio M2DI,Mahindra,2011,120000,Diesel,Individual,Manual,Third Owner,2179,115,five,350000
Ford Classic 1.6 Duratec Titanium,Ford,2013,120000,Petrol,Individual,Manual,First Owner,1596,99.6,five,350000
Maruti Ritz LDi,Maruti,2016,120000,Diesel,Individual,Manual,Third Owner,1248,73.94,five,350000
Volkswagen Jetta 2.0 TDI Comfortline,Volkswagen,2011,120000,Diesel,Individual,Manual,Second Owner,1896,105,five,350000
Maruti Swift Dzire ZDi,Maruti,2011,120000,Diesel,Individual,Manual,Second Owner,1248,73.9,five,350000
Hyundai Xcent 1.1 CRDi S,Hyundai,2016,120000,Diesel,Individual,Manual,Second Owner,1120,71,five,350000
Honda City 1.5 S Inspire,Honda,2010,120000,Petrol,Individual,Manual,Second Owner,1497,118,five,350000
Nissan Sunny Diesel XV,Nissan,2013,120000,Diesel,Individual,Manual,First Owner,1461,84.8,five,350000
Maruti SX4 VDI,Maruti,2012,120000,Diesel,Individual,Manual,Second Owner,1248,88.8,five,350000
Hyundai Verna 1.6 SX,Hyundai,2012,120000,Diesel,Individual,Manual,Third Owner,1582,126.32,five,350000
Hyundai i20 Magna,Hyundai,2013,120000,Petrol,Individual,Manual,Second Owner,1197,82.85,five,345000
Maruti Swift Dzire VDi,Maruti,2012,120000,Diesel,Individual,Manual,First Owner,1248,73.9,five,341000
Ford Fiesta Classic 1.4 Duratorq CLXI,Ford,2012,120000,Diesel,Individual,Manual,Third Owner,1399,67,five,340000
Hyundai EON 1.0 Era Plus,Hyundai,2018,120000,Petrol,Individual,Manual,First Owner,998,68.05,five,340000
Maruti Wagon R VXI BS IV,Maruti,2015,120000,Petrol,Individual,Manual,First Owner,998,67.04,five,335000
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,2011,120000,Diesel,Individual,Manual,First Owner,1199,73.9,five,330000
Tata Tiago 1.05 Revotorq XE,Tata,2017,120000,Diesel,Individual,Manual,First Owner,1047,69,five,325000
Toyota Etios Liva GD,Toyota,2013,120000,Diesel,Individual,Manual,First Owner,1364,67.06,five,325000
Ford Figo Diesel Celebration Edition,Ford,2013,120000,Diesel,Individual,Manual,Second Owner,1399,68.1,five,325000
Honda CR-V 2.4 4WD AT,Honda,2004,120000,Petrol,Individual,Automatic,Third Owner,2354,152,five,325000
Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,2013,120000,Diesel,Individual,Manual,First Owner,1199,73.9,five,325000
Maruti Swift VDI,Maruti,2012,120000,Diesel,Individual,Manual,Second Owner,1248,74,five,320000
Maruti Ritz VDi,Maruti,2013,120000,Diesel,Individual,Manual,First Owner,1248,73.94,five,320000
Ford Figo Diesel ZXI,Ford,2014,120000,Diesel,Individual,Manual,Third Owner,1399,68.05,five,320000
Tata Zest Quadrajet 1.3 75PS XM,Tata,2016,120000,Diesel,Individual,Manual,First Owner,1248,74,five,320000
Maruti Swift Dzire Vdi BSIV,Maruti,2010,120000,Diesel,Individual,Manual,Second Owner,1248,73.9,five,320000
Volkswagen Vento Diesel Trendline,Volkswagen,2010,120000,Diesel,Individual,Manual,Third Owner,1598,103.6,five,320000
Maruti Eeco 5 Seater AC BSIV,Maruti,2015,120000,Petrol,Individual,Manual,Second Owner,1196,73,five,315000
Maruti Swift Dzire LDi,Maruti,2012,120000,Diesel,Individual,Manual,First Owner,1248,73.9,five,310000
Maruti Swift Dzire VDi,Maruti,2010,120000,Diesel,Individual,Manual,Second Owner,1248,73.9,five,310000
Hyundai i20 Asta 1.4 CRDi (Diesel),Hyundai,2009,120000,Diesel,Individual,Manual,Second Owner,1396,90,five,310000
Hyundai Verna CRDi SX,Hyundai,2010,120000,Diesel,Individual,Manual,Second Owner,1493,110,five,310000
Toyota Etios VX,Toyota,2011,120000,Petrol,Individual,Manual,Third Owner,1496,88.7,five,300000
Hyundai i20 Sportz 1.2,Hyundai,2012,120000,Petrol,Individual,Manual,First Owner,1197,82.85,five,300000
Tata Indigo CS eVX,Tata,2012,120000,Diesel,Individual,Manual,First Owner,1396,69,five,300000
Tata Manza Aura (ABS) Quadrajet,Tata,2010,120000,Diesel,Individual,Manual,Third Owner,1248,90,five,300000
Volkswagen Vento Diesel Highline,Volkswagen,2011,120000,Diesel,Individual,Manual,Third Owner,1598,103.6,five,300000
Maruti Swift Dzire ZDi,Maruti,2011,120000,Diesel,Individual,Manual,Third Owner,1248,73.9,five,300000
Maruti Swift VDI,Maruti,2013,120000,Diesel,Individual,Manual,Fourth & Above Owner,1248,74,five,300000
Hyundai i20 Sportz 1.2,Hyundai,2012,120000,Petrol,Individual,Manual,First Owner,1197,82.85,five,300000
Maruti Swift Dzire VDi,Maruti,2010,120000,Diesel,Individual,Manual,Second Owner,1248,73.9,five,300000
Volkswagen Passat 1.8 TSI MT,Volkswagen,2010,120000,Petrol,Individual,Manual,Second Owner,1798,160,five,300000
Honda Amaze EX i-Vtech,Honda,2013,120000,Petrol,Individual,Manual,Second Owner,1198,86.7,five,300000
Hyundai i20 1.4 CRDi Asta,Hyundai,2012,120000,Diesel,Individual,Manual,Second Owner,1396,90,five,300000
Maruti Ritz VDi,Maruti,2013,120000,Diesel,Individual,Manual,Second Owner,1248,73.94,five,300000
Tata Indigo CS LS (TDI) BS-III,Tata,2015,120000,Diesel,Individual,Manual,Second Owner,1405,69.01,five,295000
Maruti Ritz LDi,Maruti,2013,120000,Diesel,Individual,Manual,First Owner,1248,73.94,five,295000
Honda City V MT,Honda,2009,120000,Petrol,Individual,Manual,Second Owner,1497,116.3,five,290000
Tata Manza Aura Quadrajet BS IV,Tata,2012,120000,Diesel,Individual,Manual,First Owner,1248,88.8,five,287000
Hyundai Verna CRDi SX ABS,Hyundai,2009,120000,Diesel,Individual,Manual,First Owner,1493,110,five,280000
Volkswagen Vento Diesel Highline,Volkswagen,2012,120000,Diesel,Individual,Manual,Second Owner,1598,103.6,five,280000
Toyota Etios Diesel TRD Sportivo,Toyota,2012,120000,Diesel,Individual,Manual,Second Owner,1364,67.1,five,278000
Ford Fiesta EXi 1.4 TDCi Ltd,Ford,2011,120000,Diesel,Individual,Manual,Second Owner,1399,68,five,275000
Maruti Swift Dzire VDi,Maruti,2010,120000,Diesel,Individual,Manual,Fourth & Above Owner,1248,73.9,five,270000
Chevrolet Cruze LTZ,Chevrolet,2010,120000,Diesel,Individual,Manual,Third Owner,1991,147.9,five,270000
Tata Manza ELAN Quadrajet BS IV,Tata,2011,120000,Diesel,Individual,Manual,First Owner,1248,88.8,five,265000
Maruti Eeco Smiles 5 Seater AC,Maruti,2013,120000,Petrol,Individual,Manual,Second Owner,1196,73,five,260000
Volkswagen Vento Diesel Comfortline,Volkswagen,2011,120000,Diesel,Individual,Manual,Third Owner,1598,103.6,five,260000
Hyundai Verna Xi (Petrol),Hyundai,2008,120000,Petrol,Individual,Manual,Second Owner,1599,103.2,five,260000
Maruti Alto K10 VXI,Maruti,2016,120000,Petrol,Individual,Manual,First Owner,998,67.05,five,260000
Maruti Swift Vdi BSIII,Maruti,2010,120000,Diesel,Individual,Manual,Second Owner,1248,75,five,260000
Maruti Swift Dzire VDi,Maruti,2009,120000,Diesel,Individual,Manual,Second Owner,1248,73.9,five,260000
Maruti Swift Vdi BSIII,Maruti,2008,120000,Diesel,Individual,Manual,Second Owner,1248,75,five,260000
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,2011,120000,Diesel,Individual,Manual,Third Owner,1199,73.9,five,254999
Nissan Micra Diesel XL,Nissan,2013,120000,Diesel,Individual,Manual,First Owner,1461,63.1,five,250000
Honda City 2017-2020 GXi,Honda,2008,120000,Petrol,Individual,Manual,Second Owner,1497,78,five,250000
Maruti Celerio X ZXI,Maruti,2020,120000,Petrol,Individual,Manual,Second Owner,998,67,five,250000
Renault Fluence Diesel E4,Renault,2012,120000,Diesel,Individual,Manual,Third Owner,1461,78,five,250000
Toyota Camry V4 (MT),Toyota,2004,120000,Petrol,Individual,Manual,Second Owner,2362,164.7,five,250000
Hyundai i20 1.4 CRDi Sportz,Hyundai,2011,120000,Diesel,Individual,Manual,Third Owner,1396,90,five,250000
Skoda Octavia L and K 1.9 TDI MT,Skoda,2005,120000,Diesel,Individual,Manual,Third Owner,1896,90,five,250000
Volkswagen Polo Diesel Highline 1.2L,Volkswagen,2013,120000,Diesel,Individual,Manual,Third Owner,1199,73.9,five,250000
Tata Indica Vista TDI LS,Tata,2014,120000,Diesel,Individual,Manual,First Owner,1405,70,five,250000
Tata Indigo CS LX (TDI) BS III,Tata,2013,120000,Diesel,Individual,Manual,First Owner,1396,69,five,250000
Skoda Octavia L and K 1.9 TDI MT,Skoda,2005,120000,Diesel,Individual,Manual,Third Owner,1896,90,five,250000
Tata Manza Aura (ABS) Quadrajet,Tata,2010,120000,Diesel,Individual,Manual,First Owner,1248,90,five,246000
Hyundai Verna CRDi SX ABS,Hyundai,2007,120000,Diesel,Individual,Manual,Second Owner,1493,110,five,245000
Maruti SX4 Celebration Diesel,Maruti,2011,120000,Diesel,Individual,Manual,First Owner,1248,88.8,five,242000
Maruti SX4 Celebration Diesel,Maruti,2011,120000,Diesel,Individual,Manual,First Owner,1248,88.8,five,242000
Maruti Swift Dzire VXi,Maruti,2009,120000,Petrol,Individual,Manual,First Owner,1298,85.8,five,240000
Honda City 1.5 E MT,Honda,2008,120000,Petrol,Individual,Manual,Second Owner,1497,118,five,229999
Ford Figo Petrol Titanium,Ford,2010,120000,Petrol,Individual,Manual,Third Owner,1196,70,five,229999
Tata Indica Vista TDI LS,Tata,2015,120000,Diesel,Individual,Manual,Second Owner,1405,70,five,229999
Maruti Ritz VDi,Maruti,2012,120000,Diesel,Individual,Manual,First Owner,1248,73.94,five,229999
Hyundai EON Magna Plus,Hyundai,2015,120000,Petrol,Individual,Manual,Second Owner,814,55.2,five,225000
Chevrolet Optra Magnum 2.0 LT BS3,Chevrolet,2008,120000,Diesel,Individual,Manual,Second Owner,1991,123.7,five,225000
Maruti Swift Dzire VDi,Maruti,2009,120000,Diesel,Individual,Manual,Third Owner,1248,73.9,five,225000
Maruti Swift Dzire VDi,Maruti,2010,120000,Diesel,Individual,Manual,Second Owner,1248,73.9,five,225000
Tata Indica Vista Quadrajet VX Tech,Tata,2014,120000,Diesel,Individual,Manual,First Owner,1248,74,five,225000
Hyundai EON LPG Era Plus,Hyundai,2012,120000,LPG,Individual,Manual,First Owner,814,55.2,five,222000
Maruti Wagon R LXI Minor,Maruti,2009,120000,Petrol,Individual,Manual,First Owner,1061,67,five,220000
Maruti Ritz VDi,Maruti,2010,120000,Diesel,Individual,Manual,First Owner,1248,73.9,five,220000
Hyundai i20 1.4 CRDi Asta,Hyundai,2011,120000,Diesel,Individual,Manual,Second Owner,1396,90,five,220000
Hyundai i10 Asta Sunroof AT,Hyundai,2008,120000,Petrol,Individual,Automatic,Second Owner,1197,80,five,220000
Maruti Ritz VDi,Maruti,2010,120000,Diesel,Individual,Manual,First Owner,1248,73.9,five,217000
Maruti Ritz VDi,Maruti,2010,120000,Diesel,Individual,Manual,First Owner,1248,73.9,five,217000
Hyundai i20 1.4 CRDi Asta,Hyundai,2010,120000,Diesel,Individual,Manual,Third Owner,1396,90,five,215000
Maruti Swift Dzire LDi,Maruti,2010,120000,Diesel,Individual,Manual,Third Owner,1248,73.9,five,215000
Ford Figo Diesel LXI,Ford,2011,120000,Diesel,Individual,Manual,First Owner,1399,68,five,215000
Tata Manza Aura (ABS) Quadrajet BS IV,Tata,2010,120000,Diesel,Individual,Manual,First Owner,1248,88.8,five,210000
Tata Indigo eCS GLS,Tata,2013,120000,Petrol,Individual,Manual,First Owner,1193,64.1,five,210000
Tata Indica Vista TDI LX,Tata,2011,120000,Diesel,Individual,Manual,First Owner,1405,70,five,210000
Honda City 2017-2020 GXi,Honda,2007,120000,Petrol,Individual,Manual,Second Owner,1497,78,five,210000
Tata Manza Aura (ABS) Quadrajet BS IV,Tata,2010,120000,Diesel,Individual,Manual,First Owner,1248,88.8,five,210000
Skoda Octavia Rider 1.9 AT TDI,Skoda,2008,120000,Diesel,Individual,Manual,Second Owner,1896,66,five,210000
Maruti Alto 800 LXI,Maruti,2014,120000,Petrol,Individual,Manual,Second Owner,796,47.3,five,206000
Tata Indigo CS LX (TDI) BS III,Tata,2012,120000,Diesel,Individual,Manual,Second Owner,1396,69,five,204999
Tata Indigo CS LX (TDI) BS III,Tata,2012,120000,Diesel,Individual,Manual,Second Owner,1396,69,five,204999
Nissan Micra Diesel XV Premium,Nissan,2012,120000,Diesel,Individual,Manual,First Owner,1461,63.1,five,204999
Tata Indigo CS LX (TDI) BS-III,Tata,2013,120000,Diesel,Individual,Manual,Second Owner,1405,69.01,five,200000
Maruti Ritz VXi,Maruti,2009,120000,Petrol,Individual,Manual,First Owner,1197,85.8,five,200000
Hyundai i20 Magna,Hyundai,2010,120000,Petrol,Individual,Manual,Third Owner,1197,80,five,200000
Tata Indica Vista TDI LX,Tata,2014,120000,Diesel,Individual,Manual,Second Owner,1405,70,five,200000
Ford Figo Diesel EXI,Ford,2010,120000,Diesel,Individual,Manual,First Owner,1399,68,five,200000
Tata Indica Vista TDI LX,Tata,2013,120000,Diesel,Individual,Manual,First Owner,1405,70,five,200000
Mahindra Verito 1.5 D2 BSIV,Mahindra,2011,120000,Diesel,Individual,Manual,Third Owner,1461,64.1,five,200000
Skoda Fabia 1.2 MPI Ambition,Skoda,2011,120000,Petrol,Individual,Manual,Second Owner,1198,73.9,five,200000
Mahindra Logan Petrol 1.4 GLE,Mahindra,2010,120000,Petrol,Individual,Manual,First Owner,1390,75,five,200000
Tata Indigo CS LX (TDI) BS-III,Tata,2013,120000,Diesel,Individual,Manual,Second Owner,1405,69.01,five,200000
Tata Indigo eCS LX BSIV,Tata,2012,120000,Diesel,Individual,Manual,First Owner,1396,69,five,200000
Maruti Ritz VDi,Maruti,2009,120000,Diesel,Individual,Manual,Second Owner,1248,73.9,five,200000
Maruti Wagon R LXI BSIII,Maruti,2011,120000,Petrol,Individual,Manual,First Owner,998,67.1,five,195000
Hyundai Verna Transform VGT CRDi,Hyundai,2010,120000,Diesel,Individual,Manual,Second Owner,1493,110,five,195000
Tata Indica Vista Quadrajet VX,Tata,2013,120000,Diesel,Individual,Manual,Second Owner,1248,74,five,190000
Hyundai Santro Xing GL Plus,Hyundai,2013,120000,Petrol,Individual,Manual,Second Owner,1086,62.1,five,187000
Hyundai Santro Xing GL Plus,Hyundai,2013,120000,Petrol,Individual,Manual,Second Owner,1086,62.1,five,187000
Hyundai Verna CRDi,Hyundai,2007,120000,Diesel,Individual,Manual,Fourth & Above Owner,1493,110,five,185000
Tata Manza Aura Plus Quadrajet,Tata,2009,120000,Diesel,Individual,Manual,Second Owner,1248,90,five,180000
Tata Indica Vista Aura 1.3 Quadrajet (ABS) BS IV,Tata,2011,120000,Diesel,Individual,Manual,Second Owner,1248,75,five,180000
Tata Indica Vista Terra 1.4 TDI,Tata,2010,120000,Diesel,Individual,Manual,First Owner,1405,71,five,180000
Hyundai i10 Magna 1.2 iTech SE,Hyundai,2010,120000,Petrol,Individual,Manual,First Owner,1197,78.9,five,180000
Hyundai EON Era Plus,Hyundai,2012,120000,Petrol,Individual,Manual,Second Owner,814,55.2,five,180000
Honda City 2017-2020 GXi,Honda,2006,120000,Petrol,Individual,Manual,Second Owner,1497,78,five,180000
Chevrolet Beat Diesel LT,Chevrolet,2012,120000,Diesel,Individual,Manual,First Owner,936,57.6,five,180000
Tata Indigo CS LS (TDI) BS III,Tata,2013,120000,Diesel,Individual,Manual,First Owner,1396,69,five,175000
Tata Indica V2 DLG TC,Tata,2008,120000,Diesel,Individual,Manual,Third Owner,1405,68,five,175000
Ford Figo Diesel Titanium,Ford,2012,120000,Diesel,Individual,Manual,Second Owner,1399,68,five,175000
Maruti Swift Ldi BSIII,Maruti,2008,120000,Diesel,Individual,Manual,First Owner,1248,75,five,175000
Hyundai Accent Executive,Hyundai,2013,120000,Petrol,Individual,Manual,First Owner,1495,93.7,five,172000
Maruti Swift Ldi BSIII,Maruti,2008,120000,Diesel,Individual,Manual,Third Owner,1248,75,five,170000
Maruti Ritz VXi (ABS) BS IV,Maruti,2010,120000,Petrol,Individual,Manual,Second Owner,1197,85.8,five,170000
Toyota Corolla AE,Toyota,2004,120000,Petrol,Individual,Manual,Second Owner,1794,125,five,170000
Hyundai Verna CRDi,Hyundai,2007,120000,Diesel,Individual,Manual,Second Owner,1493,110,five,170000
Tata Indigo CS LS (TDI) BS III,Tata,2012,120000,Diesel,Individual,Manual,Third Owner,1396,69,five,170000
Tata Indica V2 DLS BSIII,Tata,2013,120000,Diesel,Individual,Manual,Second Owner,1405,48.21,five,170000
Mitsubishi Lancer 2.0 GLd,Mitsubishi,2008,120000,Diesel,Individual,Manual,Third Owner,1998,68,five,165000
Ford Figo Diesel LXI,Ford,2011,120000,Diesel,Individual,Manual,First Owner,1399,68,five,160000
Maruti SX4 Vxi BSIII,Maruti,2007,120000,Petrol,Individual,Manual,Second Owner,1586,104.68,five,160000
Tata Indica V2 eLX,Tata,2014,120000,Diesel,Individual,Manual,First Owner,1396,69,five,160000
Hyundai Accent Executive CNG,Hyundai,2010,120000,CNG,Individual,Manual,Second Owner,1495,93.7,five,160000
Honda City 2017-2020 GXi,Honda,2007,120000,Petrol,Individual,Manual,Third Owner,1497,78,five,160000
Maruti Ritz VDi,Maruti,2009,120000,Diesel,Individual,Manual,First Owner,1248,73.9,five,155000
Honda City 2017-2020 GXi,Honda,2008,120000,Petrol,Individual,Manual,Second Owner,1497,78,five,155000
Tata Manza Aqua Quadrajet BS IV,Tata,2010,120000,Diesel,Individual,Manual,Second Owner,1248,88.8,five,150000
Maruti Alto LXi BSIII,Maruti,2010,120000,Petrol,Individual,Manual,Second Owner,796,46.3,five,150000
Hyundai Accent GLE,Hyundai,2005,120000,Petrol,Individual,Manual,First Owner,1495,94,five,150000
Honda City 2017-2020 VTEC,Honda,2006,120000,Petrol,Individual,Manual,Second Owner,1497,100,five,150000
Tata Indigo CS eLX BS IV,Tata,2011,120000,Diesel,Individual,Manual,First Owner,1396,69,five,150000
Tata Indigo LX,Tata,2007,120000,Diesel,Individual,Manual,Second Owner,1405,70,five,150000
Ford Fiesta 1.4 TDCi EXI,Ford,2005,120000,Diesel,Individual,Manual,Third Owner,1399,68,five,150000
Mahindra Renault Logan 1.5 DLE Diesel,Mahindra,2007,120000,Diesel,Individual,Manual,Second Owner,1461,65,five,150000
Tata Indica Vista TDI LS,Tata,2011,120000,Diesel,Individual,Manual,First Owner,1405,70,five,150000
Hyundai Verna CRDi SX ABS,Hyundai,2008,120000,Diesel,Individual,Manual,Second Owner,1493,110,five,150000
Maruti Alto K10 2010-2014 VXI,Maruti,2010,120000,Petrol,Individual,Manual,First Owner,998,67.1,five,148000
Maruti Alto LXi,Maruti,2008,120000,Petrol,Individual,Manual,Second Owner,796,46.3,five,145000
Hyundai Accent VIVA CRDi,Hyundai,2003,120000,Diesel,Individual,Manual,Fourth & Above Owner,1493,82,five,145000
Chevrolet Beat LT,Chevrolet,2012,120000,Petrol,Individual,Manual,First Owner,1199,79.4,five,145000
Hyundai Elantra GLS,Hyundai,2006,120000,Petrol,Individual,Automatic,First Owner,1795,127,five,140000
Mahindra Verito 1.5 D2 BSIV,Mahindra,2012,120000,Diesel,Individual,Manual,Second Owner,1461,65,five,140000
Tata Indigo CS LS (TDI) BS III,Tata,2009,120000,Diesel,Individual,Manual,Third Owner,1396,69,five,140000
