battery_power,blue_tooth,clock_speed,dual_sim,Front_Camera_mx,four_g,int_memory,mobile_dep,mobile_wt,n_cores,Pimary_camera_mx,ram,screen_height,screen_width,talk_time,three_g,touch_screen,wifi,price_$
1450,Yes,2.7,Yes,9,No,19,0.6,131,one,17,575,15,9,12,No,No,No,181.1371138
973,Yes,1.5,No,5,Yes,57,0.2,190,seven,16,2977,6,4,2,Yes,No,No,638.3055589
601,Yes,1.4,No,4,Yes,4,0.1,154,four,13,532,12,8,10,Yes,Yes,Yes,95.71795564
507,Yes,0.5,Yes,1,No,32,0.5,141,seven,11,1702,17,0,5,Yes,Yes,Yes,129.7028651
564,No,1.8,Yes,0,Yes,51,0.5,168,three,1,1074,14,8,15,Yes,Yes,No,55.4600581
1559,Yes,1.6,Yes,6,Yes,6,0.5,162,six,17,3352,9,1,3,Yes,Yes,Yes,822.4441452
754,No,0.5,Yes,7,Yes,59,0.7,178,seven,10,1027,6,3,5,Yes,No,No,165.0358279
728,No,2.7,Yes,0,No,25,0.2,88,four,1,2039,5,1,12,Yes,Yes,Yes,166.1468916
1431,Yes,0.5,No,0,Yes,56,0.6,191,one,1,461,7,3,8,Yes,No,No,121.7542193
767,No,1.5,No,4,No,28,0.7,175,four,10,527,10,0,15,No,Yes,No,102.1673766
1722,No,2.6,No,8,No,18,0.8,177,two,16,3271,14,0,15,Yes,No,Yes,706.2503577
1992,Yes,1.6,No,5,Yes,57,1,100,two,15,606,9,3,4,Yes,Yes,Yes,110.597678
1876,No,0.5,No,10,Yes,40,0.3,86,six,14,2513,10,8,16,Yes,Yes,No,1124.834768
1054,No,1.1,Yes,10,Yes,38,0.4,136,six,12,1675,18,4,14,Yes,Yes,Yes,218.1635421
1283,Yes,1.6,Yes,4,No,47,0.9,93,five,5,2698,9,6,17,Yes,Yes,No,554.0664759
1281,Yes,2.3,Yes,0,No,28,0.3,148,one,6,1129,12,1,6,No,Yes,No,195.2297668
1066,No,0.6,No,2,Yes,7,0.9,114,seven,18,468,19,13,6,Yes,Yes,No,35.90261709
730,No,2.1,Yes,0,Yes,4,0.1,89,eight,2,1210,19,15,4,Yes,Yes,Yes,79.38432215
1053,Yes,0.8,Yes,7,Yes,45,0.3,103,one,12,3086,17,6,5,Yes,Yes,Yes,851.7140175
1611,Yes,0.5,Yes,11,No,3,0.6,98,three,14,1595,8,4,9,Yes,No,Yes,166.7437486
793,No,1,Yes,5,Yes,30,0.9,133,two,15,2332,17,13,14,Yes,Yes,Yes,442.6022773
1220,No,2.9,No,3,No,62,0.5,125,four,8,2589,19,11,15,Yes,Yes,Yes,540.373237
1662,No,0.5,No,0,Yes,61,0.8,126,four,13,3760,9,5,13,Yes,Yes,Yes,905.9290271
1281,Yes,2.8,Yes,3,Yes,8,0.3,144,four,19,1851,8,2,9,Yes,Yes,No,263.7889559
538,No,0.8,No,12,Yes,2,0.8,177,seven,13,417,8,4,9,Yes,No,Yes,78.01508886
823,Yes,0.5,No,0,No,39,0.4,187,eight,4,294,13,9,11,No,No,Yes,117.438602
1733,Yes,2.8,No,3,Yes,36,1,119,six,20,3576,17,16,9,Yes,No,No,597.4773133
1429,No,1.5,Yes,0,Yes,40,0.9,100,three,14,3945,11,7,18,Yes,No,Yes,889.4609978
1839,Yes,1.2,No,9,Yes,54,0.5,200,seven,11,927,19,10,18,Yes,No,Yes,277.3121346
659,No,2.7,No,6,Yes,6,0.5,110,three,7,2044,15,5,2,Yes,No,Yes,161.2817965
1953,Yes,2.1,Yes,7,No,56,0.1,158,eight,9,2334,11,5,4,Yes,No,No,484.0166632
1172,No,1.9,No,0,Yes,27,0.7,164,one,3,1477,12,0,6,Yes,No,No,179.264315
612,Yes,1.9,Yes,6,No,16,0.3,102,seven,7,3161,8,4,3,No,No,No,206.4029582
1563,No,2.4,No,0,Yes,24,0.2,170,eight,0,3660,7,5,5,Yes,Yes,No,785.6982233
1191,No,1.3,Yes,16,Yes,26,0.8,84,one,20,1604,14,3,9,Yes,No,Yes,252.7178742
615,Yes,0.5,Yes,0,No,42,0.6,163,six,4,2211,7,4,18,No,No,Yes,252.1918939
1893,Yes,2.1,Yes,8,No,63,0.2,134,two,11,3822,14,3,18,No,Yes,Yes,890.0187316
1563,No,1.7,Yes,10,No,16,0.1,151,seven,13,3922,11,1,8,No,No,Yes,681.8493098
1995,Yes,1.9,No,6,No,9,0.8,139,six,18,1203,14,12,18,Yes,Yes,Yes,280.1644718
1517,No,0.5,No,6,Yes,48,0.6,143,five,14,2822,15,5,11,Yes,Yes,Yes,840.0923034
832,No,1.6,Yes,1,Yes,34,0.3,108,five,5,447,15,13,12,Yes,Yes,No,74.85414576
1162,No,2,No,0,Yes,56,0.7,114,seven,1,1652,5,0,20,Yes,No,No,232.5118921
1595,Yes,2.6,No,7,No,12,0.3,121,eight,19,3608,15,1,16,No,Yes,No,1086.753716
1329,Yes,1,No,1,No,52,0.9,181,six,2,1228,8,6,6,Yes,No,Yes,80.17074877
928,Yes,0.5,Yes,11,No,56,0.7,80,eight,13,666,19,10,5,No,Yes,No,23.26774245
1656,Yes,0.5,Yes,8,Yes,38,0.1,105,seven,17,1499,12,8,19,Yes,No,Yes,275.3301835
1937,Yes,1.7,No,17,No,58,0.6,189,one,19,3321,5,4,14,Yes,Yes,No,945.278047
977,Yes,1.1,Yes,2,No,57,0.6,181,six,7,1206,7,1,8,No,Yes,Yes,66.26633937
768,Yes,0.9,No,16,Yes,56,0.1,113,one,20,952,19,3,16,Yes,No,Yes,89.52814731
1464,Yes,0.5,Yes,11,No,12,0.9,117,two,14,3927,5,3,15,No,Yes,Yes,925.7547901
1177,No,0.9,No,1,Yes,29,0.4,191,two,8,311,18,5,19,Yes,No,No,80.68218684
1348,No,2,No,18,No,52,0.3,98,three,20,955,18,11,7,Yes,Yes,Yes,180.4558624
1956,No,2.2,No,0,Yes,37,0.5,87,three,2,1109,13,1,19,Yes,Yes,No,183.6517036
1751,No,0.5,Yes,6,No,8,0.6,178,six,20,2969,8,6,17,No,No,Yes,413.0912747
1530,No,2,No,11,No,42,0.8,177,six,13,725,11,10,19,No,No,Yes,28.39444857
1997,Yes,1.8,Yes,1,No,40,0.5,185,four,8,1655,7,6,15,Yes,No,No,319.1462122
1414,Yes,1.5,Yes,5,No,44,0.5,180,two,6,3490,16,12,13,No,Yes,No,863.8505441
1707,No,1.4,No,0,No,41,0.8,80,seven,2,1774,12,0,10,No,No,No,507.7904538
894,No,0.5,Yes,1,Yes,50,0.5,199,three,14,3615,13,0,6,Yes,No,Yes,882.9244235
645,No,1.2,No,6,Yes,41,0.7,184,eight,17,714,18,2,13,Yes,Yes,No,144.0986853
1163,No,2.8,Yes,0,No,49,0.6,155,two,0,2768,19,2,12,No,No,Yes,619.9870244
1126,No,0.7,No,3,No,49,0.9,165,eight,17,3739,14,1,13,Yes,No,No,459.7912285
1648,No,0.7,No,6,Yes,64,0.8,170,four,9,610,8,1,6,Yes,Yes,No,193.3283441
1170,Yes,0.9,No,6,Yes,14,0.4,199,two,13,715,18,5,20,Yes,No,Yes,81.98842278
508,No,0.8,No,7,Yes,42,0.3,94,one,8,663,13,12,7,Yes,No,No,166.7859745
1097,No,2.1,Yes,6,No,64,0.2,161,three,8,1725,14,5,9,Yes,No,Yes,294.4614113
728,No,1.7,Yes,0,Yes,5,0.6,101,two,20,834,16,0,5,Yes,Yes,No,124.8012396
1980,No,0.5,Yes,2,Yes,29,0.8,177,one,13,3865,12,10,18,Yes,No,No,610.5375929
1504,No,2.3,Yes,1,No,64,0.9,182,one,2,3059,6,5,10,No,Yes,No,456.1367161
1379,Yes,2.1,Yes,14,Yes,63,1,83,one,17,651,9,6,7,Yes,Yes,No,112.465183
1698,No,2.1,No,5,Yes,18,0.9,160,six,20,796,13,3,14,Yes,No,Yes,55.30430657
920,No,2.1,Yes,5,No,25,0.4,115,seven,14,785,10,7,5,No,Yes,Yes,80.8058885
1144,Yes,1.5,Yes,0,No,21,0.4,189,one,11,3252,16,0,8,No,No,No,400.675636
1995,Yes,0.5,No,6,No,26,0.2,129,one,15,1322,15,11,7,No,Yes,Yes,232.7545182
1430,No,0.5,Yes,1,No,27,0.5,183,one,16,2832,7,1,15,No,Yes,Yes,276.2323498
972,Yes,0.5,Yes,5,No,13,0.4,193,five,8,1615,11,6,13,No,Yes,No,290.9923415
662,No,0.5,No,5,No,20,0.8,138,one,10,2125,17,15,15,No,Yes,Yes,312.844438
1867,No,2.3,No,0,Yes,9,0.1,191,six,3,990,6,1,2,Yes,No,Yes,163.2426259
1730,No,2,Yes,0,Yes,20,0.1,143,four,10,1595,14,0,12,Yes,Yes,No,274.0763123
1723,Yes,1,No,1,Yes,7,0.6,126,three,17,1213,5,0,16,Yes,Yes,Yes,205.7630594
1882,Yes,1.3,Yes,8,No,47,0.2,140,two,13,2500,17,1,11,No,No,Yes,475.0127549
803,No,0.8,Yes,0,No,18,0.3,106,four,1,2801,18,15,12,No,Yes,No,302.2496449
580,Yes,1.2,Yes,0,No,47,0.9,91,three,1,3451,15,1,11,Yes,Yes,No,619.8459081
668,No,2.3,No,2,Yes,48,0.3,114,one,19,1201,14,12,4,Yes,Yes,No,158.3534946
1391,No,1.4,No,2,Yes,36,0.8,182,one,6,3139,14,7,14,Yes,Yes,No,496.2122761
1560,No,2.3,No,0,Yes,22,0.8,169,seven,1,1938,15,11,16,Yes,Yes,Yes,91.08885595
821,No,1.8,Yes,5,No,54,0.1,109,three,9,3185,8,4,15,Yes,No,No,627.4386071
811,Yes,2.4,Yes,5,Yes,2,0.3,106,six,13,2111,18,7,2,Yes,No,Yes,188.2056491
1989,Yes,2.9,Yes,8,No,17,0.1,193,eight,15,2369,7,0,18,Yes,Yes,No,381.1820454
1034,Yes,2.7,Yes,6,No,37,0.7,120,seven,20,3625,17,1,12,No,Yes,Yes,671.9738258
618,No,2.1,No,2,No,6,0.3,86,one,4,1051,13,10,15,No,No,Yes,129.1044046
654,Yes,1.3,No,0,Yes,52,0.7,196,four,4,1036,17,4,13,Yes,No,No,173.8714564
576,Yes,2.8,No,2,Yes,10,0.2,184,five,7,2938,6,0,5,Yes,Yes,Yes,750.3641513
667,Yes,0.6,No,6,Yes,3,0.7,185,six,13,2855,5,0,19,Yes,No,Yes,417.1131496
869,Yes,1,No,7,Yes,57,0.6,118,one,15,2727,13,3,8,Yes,No,No,411.9605125
635,Yes,0.5,Yes,2,No,42,0.4,149,three,4,2973,12,5,18,No,No,Yes,279.3635719
609,Yes,3,No,15,Yes,44,0.3,117,one,16,2581,15,11,15,Yes,No,Yes,138.4019995
1557,No,2.8,Yes,16,No,2,0.1,123,five,20,2690,18,16,9,No,No,Yes,904.6363006
1604,Yes,1.7,No,2,No,33,1,191,eight,5,916,13,10,12,No,Yes,Yes,59.68069328
1182,No,0.5,No,7,Yes,8,0.5,138,eight,16,2563,19,17,19,Yes,No,No,285.6951333
848,Yes,2.1,Yes,10,Yes,19,0.8,148,seven,18,3359,10,0,14,Yes,No,No,345.6229396
1610,Yes,2.9,No,7,Yes,64,0.9,181,four,12,941,8,4,9,Yes,Yes,No,160.5400722
1828,Yes,2.1,Yes,0,No,17,0.9,199,one,1,2280,17,14,4,No,No,No,502.8625979
880,No,2,Yes,1,Yes,50,0.5,194,seven,3,827,15,9,6,Yes,No,Yes,95.83920777
1394,Yes,0.9,Yes,10,Yes,62,0.3,175,five,13,473,11,1,20,Yes,Yes,No,91.59504114
1960,Yes,2.3,Yes,1,Yes,61,0.3,86,seven,3,3865,10,7,11,Yes,No,No,433.8930303
809,No,0.8,No,10,No,21,0.9,91,seven,19,1274,18,7,3,No,No,No,152.9206926
899,No,0.5,Yes,13,Yes,57,0.9,172,two,18,364,11,1,7,Yes,Yes,No,181.1911834
1976,Yes,0.7,Yes,4,No,32,0.8,171,two,7,3699,17,11,13,No,Yes,Yes,896.8346582
879,No,1.5,Yes,0,Yes,21,0.8,187,four,2,2927,14,13,11,Yes,No,Yes,377.9314198
916,Yes,2.6,No,0,No,36,0.3,195,four,12,1470,13,0,14,No,Yes,No,161.7408602
763,No,1.7,Yes,8,Yes,2,0.5,92,eight,14,1050,6,4,8,Yes,Yes,No,64.16081404
508,No,1.6,Yes,0,No,9,0.4,162,six,2,2616,18,8,10,Yes,Yes,Yes,524.2008016
825,No,2.9,Yes,0,No,34,0.8,99,eight,17,2915,8,2,10,Yes,Yes,No,591.2718942
1864,No,1.4,No,8,Yes,46,0.7,178,one,12,2686,11,7,18,Yes,Yes,Yes,491.5084207
1725,No,0.5,Yes,8,Yes,52,1,185,six,12,1243,19,18,5,Yes,Yes,Yes,280.6452529
1108,Yes,2.9,No,10,No,52,0.1,183,two,12,3264,16,1,13,No,Yes,Yes,1016.494339
1011,No,1.1,No,4,Yes,36,0.2,131,seven,18,2261,7,6,16,Yes,Yes,Yes,222.4840906
1703,Yes,1.5,Yes,17,Yes,55,0.7,138,five,19,2993,5,1,20,Yes,Yes,Yes,771.4781638
1067,Yes,1.7,Yes,0,No,58,0.5,135,seven,0,706,12,9,16,No,Yes,No,114.2808111
1334,Yes,2.4,No,5,Yes,42,0.6,115,five,14,2542,10,1,8,Yes,No,No,845.1805775
775,Yes,2.6,No,0,No,30,0.4,189,seven,10,2523,17,16,9,Yes,No,Yes,410.3266277
1899,Yes,0.6,No,0,No,26,0.1,151,two,0,336,13,11,4,Yes,No,Yes,90.44574258
930,Yes,1.3,Yes,1,Yes,14,0.4,97,six,10,2457,11,7,17,Yes,Yes,No,286.5249916
1058,No,1.5,No,2,No,19,0.4,166,four,14,418,9,7,16,No,No,Yes,45.74109974
1187,Yes,2.2,No,0,Yes,46,0.4,145,two,9,3917,13,11,8,Yes,No,Yes,777.5849327
1874,Yes,2.7,Yes,10,No,8,0.9,166,seven,13,1246,8,1,2,No,No,Yes,270.3594006
1482,No,0.5,No,2,No,48,0.2,142,seven,10,2971,12,8,12,Yes,Yes,Yes,441.8098525
1809,Yes,1.7,No,3,Yes,59,0.1,174,three,4,2324,10,6,16,Yes,No,Yes,326.5180097
864,Yes,3,Yes,0,Yes,54,0.7,187,two,1,3121,18,2,16,Yes,Yes,Yes,518.9181832
625,Yes,1.9,No,12,Yes,33,0.2,191,one,20,3801,10,6,2,Yes,No,No,425.0889375
1880,Yes,1.8,No,4,Yes,18,0.7,138,three,5,3333,17,15,7,Yes,No,No,832.2408242
1138,No,1.4,No,12,Yes,44,0.2,187,eight,17,3475,19,3,3,Yes,No,No,786.3962633
560,No,0.5,No,14,No,23,1,146,eight,15,2360,17,16,18,No,Yes,Yes,104.5395327
1117,No,0.5,No,1,No,12,0.6,144,seven,8,2895,7,6,16,Yes,Yes,No,357.9640857
1712,No,1.4,No,1,No,63,0.5,137,seven,12,3652,16,1,19,Yes,No,No,837.4152795
1836,Yes,1.7,Yes,3,No,26,0.1,134,six,16,3097,5,0,18,No,Yes,No,958.5102583
1036,Yes,2.4,No,0,No,39,0.2,119,seven,3,2101,10,7,2,No,Yes,No,195.8545897
1860,Yes,2.3,No,15,No,23,0.6,162,four,16,3918,9,2,8,No,Yes,No,826.6413528
1375,Yes,1.1,No,3,Yes,9,0.9,145,seven,19,3869,19,18,10,Yes,Yes,Yes,320.7113942
1945,No,1.6,Yes,0,Yes,57,0.3,195,four,1,732,14,1,14,Yes,Yes,No,260.4374039
1896,No,0.5,Yes,8,Yes,7,0.4,141,two,13,3684,9,7,18,Yes,No,No,1106.686928
788,No,2.5,Yes,4,Yes,57,0.9,91,eight,12,3969,12,8,6,Yes,Yes,Yes,532.6957589
880,Yes,1.7,Yes,0,No,33,0.7,173,two,2,1414,12,1,7,Yes,Yes,No,148.7459637
1323,Yes,2.5,Yes,10,Yes,28,0.2,131,four,12,1892,10,0,15,Yes,Yes,Yes,133.7451985
1868,No,2,Yes,0,Yes,42,0.2,169,one,4,3131,8,3,7,Yes,Yes,Yes,948.0068011
1266,No,1.9,Yes,0,Yes,7,0.2,184,three,12,2532,10,5,4,Yes,Yes,Yes,302.0091157
1042,No,2.7,Yes,16,Yes,50,0.8,93,seven,18,3215,18,0,20,Yes,Yes,Yes,1112.913994
1479,No,0.5,No,8,No,19,0.6,156,three,10,3323,13,12,6,Yes,No,Yes,718.7488889
1476,Yes,1.2,Yes,0,Yes,55,0.1,171,four,5,1529,13,8,3,Yes,No,Yes,517.1847154
1552,Yes,2.2,No,6,Yes,13,0.2,123,six,9,2403,9,2,9,Yes,Yes,Yes,366.7034438
1454,Yes,0.5,Yes,1,No,34,0.7,83,four,3,3419,7,5,5,Yes,Yes,No,868.2541418
1007,No,2,No,0,No,45,0.1,95,five,2,3648,9,0,16,No,No,No,714.9517228
652,Yes,2.4,Yes,9,Yes,17,0.7,173,five,11,1974,12,10,12,Yes,No,No,170.4434271
1504,No,1.5,No,12,Yes,34,0.7,142,eight,15,2806,7,2,7,Yes,No,Yes,192.7309668
1726,Yes,0.9,Yes,2,No,51,0.6,193,four,3,2239,13,9,13,Yes,No,Yes,515.7649351
1029,Yes,1.9,Yes,5,Yes,5,0.2,171,five,8,582,15,7,4,Yes,Yes,Yes,93.80154262
1582,No,2.8,No,2,Yes,44,0.5,112,six,13,3890,17,10,10,Yes,Yes,Yes,579.5653504
1478,Yes,0.8,Yes,12,No,48,0.7,99,five,17,1141,5,2,6,No,No,Yes,134.4792705
1178,Yes,1.3,No,0,No,49,0.6,101,five,0,2511,6,3,17,No,No,No,113.1294034
707,No,2.1,Yes,2,No,25,0.8,131,three,17,3838,9,2,7,Yes,No,Yes,261.1057917
755,Yes,2.8,No,5,Yes,51,0.3,186,four,12,2734,10,1,16,Yes,No,Yes,391.8673147
912,Yes,2,No,1,No,54,0.3,161,eight,5,2330,19,5,20,No,Yes,No,282.4635433
651,Yes,0.8,Yes,2,Yes,63,0.2,176,five,4,2244,14,9,19,Yes,Yes,No,283.8168037
1483,No,2.1,No,1,Yes,54,0.2,176,seven,2,1851,15,13,2,Yes,Yes,No,303.6704641
914,Yes,0.9,No,2,No,4,0.8,100,two,12,808,11,7,5,Yes,Yes,No,108.6395545
1456,Yes,0.5,Yes,7,No,7,0.4,105,five,12,1587,6,5,20,Yes,No,Yes,125.3509262
1178,No,2.2,Yes,6,No,57,0.3,84,three,17,2492,16,14,10,Yes,Yes,No,513.164744
1503,Yes,0.7,No,10,Yes,43,0.2,166,four,14,2122,15,1,2,Yes,No,No,377.1200116
1681,Yes,2.5,No,2,No,11,0.4,158,two,13,1122,12,6,16,No,Yes,Yes,148.1334801
715,No,2.3,Yes,4,No,48,0.1,160,four,6,3709,14,2,10,No,No,No,474.4592904
1876,No,2.8,Yes,3,Yes,56,0.4,182,three,4,3021,12,2,18,Yes,No,No,248.194133
1190,Yes,2.2,Yes,9,No,47,0.3,186,six,10,624,9,3,19,Yes,Yes,Yes,75.23557834
1755,Yes,1.3,No,0,Yes,24,0.1,134,seven,2,3937,8,1,7,Yes,No,Yes,840.8981589
1197,No,1.3,No,3,Yes,20,0.5,149,six,7,1797,19,5,4,Yes,Yes,Yes,242.3240694
1048,Yes,0.9,No,10,Yes,28,0.8,194,two,19,1458,5,1,15,Yes,No,Yes,159.9203879
1887,Yes,3,Yes,6,Yes,17,0.2,126,eight,7,3348,18,16,16,Yes,Yes,No,1050.48559
1772,Yes,0.5,Yes,3,No,64,0.7,116,eight,15,1834,5,2,20,No,Yes,Yes,142.8949171
1421,No,2.8,No,0,Yes,57,0.4,165,one,2,2775,13,8,14,Yes,No,Yes,927.1391529
1464,No,0.5,Yes,0,Yes,17,0.7,153,six,8,1277,13,6,19,Yes,No,No,173.6424056
728,No,2.3,Yes,4,No,23,0.8,111,four,5,457,17,10,16,Yes,Yes,Yes,121.4678671
954,Yes,0.5,No,0,No,50,0.3,134,two,11,438,17,0,2,Yes,No,No,71.38415919
685,No,0.5,Yes,8,Yes,13,0.8,82,seven,15,3210,15,7,2,Yes,Yes,Yes,691.6080718
1472,No,2.8,Yes,1,No,36,0.5,130,six,10,985,12,11,7,Yes,Yes,No,266.6930869
853,Yes,2,No,10,Yes,3,0.6,200,two,16,3701,15,8,8,Yes,Yes,No,1008.220945
1469,No,2.1,No,0,No,8,0.7,123,seven,0,1052,8,1,3,No,Yes,No,84.28396763
1310,Yes,2.3,Yes,6,No,57,0.9,135,eight,9,1175,16,0,8,No,No,No,107.9437636
1654,No,1.8,No,1,No,11,0.3,146,seven,2,1070,8,1,14,Yes,Yes,Yes,119.0691837
902,Yes,0.7,No,3,No,3,0.3,134,seven,9,3411,12,11,15,No,No,Yes,580.8705503
1448,No,1.4,Yes,13,No,26,1,156,three,16,1175,12,9,6,No,Yes,No,198.3656043
1631,No,0.9,Yes,2,Yes,3,0.1,198,seven,12,301,13,5,13,Yes,No,No,97.29083557
1608,No,1.8,Yes,7,No,28,0.4,183,two,13,489,15,11,8,No,No,Yes,16.80501255
1991,Yes,2.7,No,5,Yes,64,0.9,145,two,13,1733,5,3,8,Yes,Yes,No,476.8832788
1349,No,2,Yes,15,No,62,0.3,114,five,16,2756,11,3,4,Yes,No,No,534.8333205
1589,No,2.5,No,5,Yes,51,0.8,195,one,18,2612,8,2,16,Yes,No,No,434.3325637
1844,Yes,2.3,Yes,1,No,51,0.7,158,eight,3,1724,5,1,14,No,Yes,Yes,15.0115366
712,Yes,0.5,Yes,3,Yes,35,0.2,84,two,10,2190,16,12,4,Yes,Yes,Yes,121.7722947
972,Yes,1.7,No,0,Yes,54,0.7,107,three,4,1900,16,8,19,Yes,No,Yes,227.9024747
1406,No,0.5,Yes,2,Yes,34,0.8,98,three,5,3915,9,8,2,Yes,No,Yes,660.2785064
1289,No,0.9,No,10,Yes,25,1,178,six,12,1043,6,2,11,Yes,Yes,No,126.4846269
932,No,1.3,No,1,No,64,0.7,154,seven,2,3817,8,7,9,Yes,Yes,Yes,613.1559339
1747,Yes,0.9,No,6,Yes,48,0.7,94,three,19,2362,17,2,19,Yes,Yes,No,419.0086394
1172,Yes,2.1,Yes,4,No,41,0.1,95,three,7,1107,7,3,5,No,No,No,219.0479983
1128,Yes,1.4,No,12,No,53,0.4,84,five,14,2982,14,9,12,Yes,Yes,No,586.251863
664,No,1.2,Yes,0,No,28,0.9,106,five,5,2042,17,15,19,Yes,Yes,No,166.1319305
513,Yes,0.5,No,6,Yes,44,0.1,186,four,12,1343,5,1,9,Yes,Yes,No,45.33416781
1742,No,2.3,Yes,9,Yes,43,0.4,170,seven,12,2610,12,3,10,Yes,No,Yes,82.33330714
1512,Yes,1.7,No,12,No,6,0.7,162,seven,17,2335,15,7,7,Yes,Yes,Yes,467.2395539
1986,No,0.5,Yes,3,Yes,51,0.1,165,eight,20,1614,17,12,3,Yes,Yes,Yes,171.9622035
965,Yes,1.5,Yes,5,No,13,1,109,two,14,1138,9,8,10,No,Yes,No,78.86049175
1067,Yes,2.4,Yes,3,Yes,40,0.6,122,eight,15,604,16,14,11,Yes,No,No,109.9901406
1583,Yes,1.6,No,5,Yes,42,0.8,118,three,10,3652,14,10,9,Yes,No,No,1039.348441
1653,No,0.5,Yes,2,Yes,37,0.9,176,four,6,3955,19,4,18,Yes,Yes,Yes,-49.66651621
1433,No,1.6,No,7,No,4,0.7,133,eight,11,258,11,9,4,Yes,Yes,Yes,35.20640614
765,No,2.9,No,0,Yes,18,0.1,153,seven,0,1066,11,1,16,Yes,Yes,No,101.7357783
1845,Yes,0.5,Yes,10,No,61,0.3,96,one,12,1731,9,5,6,No,No,No,221.1190333
752,No,0.5,Yes,1,No,48,0.7,87,seven,13,3860,7,5,16,No,No,No,686.3916709
1948,No,2.8,Yes,8,No,16,0.1,100,five,10,3630,9,7,17,No,Yes,No,581.2711072
1077,No,2.5,Yes,0,Yes,45,1,174,three,4,1965,6,2,6,Yes,Yes,No,256.4227093
932,Yes,0.5,No,1,Yes,60,0.7,104,four,2,1459,6,1,19,Yes,Yes,No,72.20970368
1968,No,0.9,No,0,No,22,0.8,115,three,7,2323,9,8,7,No,No,Yes,447.4165931
1122,No,1.2,No,9,No,2,0.6,120,four,14,3291,11,2,13,Yes,Yes,Yes,562.6527956
1588,No,0.5,No,0,Yes,61,0.8,159,one,13,3272,18,0,17,Yes,Yes,No,712.7952686
601,No,2.1,No,4,No,26,0.3,101,four,18,918,9,1,12,No,No,No,87.93019286
1615,No,0.5,No,14,No,15,0.1,132,four,16,3488,16,2,3,No,No,Yes,1024.257123
1589,Yes,2.2,Yes,2,No,58,0.1,128,four,4,3961,16,14,14,Yes,No,Yes,502.1309061
1417,Yes,2.7,No,2,Yes,56,0.9,114,six,4,590,11,3,6,Yes,No,Yes,136.2040191
1697,Yes,0.7,No,1,Yes,34,0.1,95,one,3,3701,15,9,8,Yes,Yes,No,756.7482627
1330,Yes,1.3,Yes,14,No,3,0.3,83,five,17,463,14,6,11,No,No,Yes,111.4267496
1476,No,0.5,No,0,Yes,43,0.7,148,two,2,3644,15,10,6,Yes,No,Yes,831.890872
1579,Yes,1.5,No,0,No,27,0.2,142,six,18,1713,16,4,10,Yes,Yes,Yes,134.5552991
1277,No,3,No,0,Yes,41,0.3,200,four,3,429,9,4,14,Yes,Yes,Yes,75.85909055
1089,Yes,0.9,Yes,12,Yes,2,0.7,145,five,15,2765,13,12,10,Yes,No,Yes,303.2720777
1663,Yes,2.5,Yes,13,Yes,27,0.3,169,four,14,2084,7,1,18,Yes,No,No,263.9035937
1949,No,1.8,No,0,No,20,0.8,186,five,4,1125,17,10,9,No,No,No,230.529084
1138,No,1.1,No,5,Yes,48,0.6,109,three,14,2048,6,0,18,Yes,Yes,Yes,80.77524505
685,No,2.7,No,7,No,17,0.3,174,six,20,1223,8,0,18,Yes,No,Yes,54.44882119
1889,No,2.8,No,5,Yes,31,1,132,one,10,3672,5,1,3,Yes,Yes,Yes,196.6209849
857,Yes,2,Yes,3,No,17,0.2,195,seven,9,3100,17,5,13,Yes,Yes,No,342.0762659
1902,No,2.8,Yes,6,No,50,0.8,124,eight,9,343,11,8,18,No,Yes,No,50.71638455
1225,Yes,2.4,No,0,No,15,0.1,155,five,0,1970,16,8,15,Yes,Yes,No,182.7306139
1066,No,1.6,No,5,No,39,0.6,131,five,17,2728,6,0,17,Yes,Yes,Yes,412.9221076
1554,Yes,0.5,Yes,11,No,5,1,124,three,12,3635,7,4,18,No,No,No,670.526694
1337,No,0.5,No,13,No,31,0.8,186,two,20,2180,7,4,16,Yes,No,Yes,229.132318
1926,Yes,1.7,Yes,1,Yes,33,0.4,172,three,2,2488,6,1,14,Yes,No,No,578.2223651
869,No,1.3,Yes,3,No,34,0.1,104,two,4,3864,13,3,11,Yes,No,No,787.4435821
1278,Yes,0.5,Yes,1,No,54,0.1,104,eight,16,1155,7,1,20,No,No,Yes,135.2327502
1773,Yes,2.5,No,16,Yes,32,0.6,170,six,18,3566,17,6,13,Yes,No,Yes,612.1345258
1661,Yes,0.8,Yes,1,Yes,6,1,109,seven,2,864,9,8,2,Yes,No,Yes,167.2907835
1438,No,2.2,No,0,Yes,32,0.6,176,seven,6,869,19,13,9,Yes,Yes,Yes,107.9944922
1661,Yes,1.4,No,0,No,29,0.3,119,two,0,591,9,2,9,Yes,Yes,Yes,130.2936597
1846,Yes,0.6,No,1,No,19,0.7,159,one,2,1333,15,6,11,No,Yes,Yes,275.6317363
1260,Yes,2,Yes,2,Yes,23,0.2,123,seven,10,2208,12,11,10,Yes,No,Yes,656.9300672
512,Yes,0.5,Yes,7,No,15,0.9,83,three,15,2610,18,14,15,No,Yes,Yes,675.6354961
581,No,2.2,No,0,No,59,0.7,185,five,6,2819,19,17,9,No,No,Yes,243.2834661
1872,Yes,2.3,No,6,No,44,0.7,134,three,15,1955,9,4,15,Yes,No,Yes,301.0937285
687,Yes,1.3,No,9,Yes,50,0.6,151,four,20,3416,14,6,8,Yes,Yes,No,888.4637278
