battery_power,blue_tooth,clock_speed,dual_sim,Front_Camera_mx,four_g,int_memory,mobile_dep,mobile_wt,n_cores,Pimary_camera_mx,ram,screen_height,screen_width,talk_time,three_g,touch_screen,wifi,price_range
1283,Yes,1.6,Yes,4,No,47,0.9,93,five,5,2698,9,6,17,Yes,Yes,No,high
1281,Yes,2.3,Yes,0,No,28,0.3,148,one,6,1129,12,1,6,No,Yes,No,meduim
1066,No,0.6,No,2,Yes,7,0.9,114,seven,18,468,19,13,6,Yes,Yes,No,low
730,No,2.1,Yes,0,Yes,4,0.1,89,eight,2,1210,19,15,4,Yes,Yes,Yes,low
1053,Yes,0.8,Yes,7,Yes,45,0.3,103,one,12,3086,17,6,5,Yes,Yes,Yes,very_high
1611,Yes,0.5,Yes,11,No,3,0.6,98,three,14,1595,8,4,9,Yes,No,Yes,meduim
793,No,1,Yes,5,Yes,30,0.9,133,two,15,2332,17,13,14,Yes,Yes,Yes,high
1220,No,2.9,No,3,No,62,0.5,125,four,8,2589,19,11,15,Yes,Yes,Yes,high
1662,No,0.5,No,0,Yes,61,0.8,126,four,13,3760,9,5,13,Yes,Yes,Yes,very_high
1281,Yes,2.8,Yes,3,Yes,8,0.3,144,four,19,1851,8,2,9,Yes,Yes,No,meduim
538,No,0.8,No,12,Yes,2,0.8,177,seven,13,417,8,4,9,Yes,No,Yes,low
823,Yes,0.5,No,0,No,39,0.4,187,eight,4,294,13,9,11,No,No,Yes,low
1733,Yes,2.8,No,3,Yes,36,1,119,six,20,3576,17,16,9,Yes,No,No,very_high
1429,No,1.5,Yes,0,Yes,40,0.9,100,three,14,3945,11,7,18,Yes,No,Yes,very_high
1839,Yes,1.2,No,9,Yes,54,0.5,200,seven,11,927,19,10,18,Yes,No,Yes,meduim
659,No,2.7,No,6,Yes,6,0.5,110,three,7,2044,15,5,2,Yes,No,Yes,meduim
1953,Yes,2.1,Yes,7,No,56,0.1,158,eight,9,2334,11,5,4,Yes,No,No,high
1172,No,1.9,No,0,Yes,27,0.7,164,one,3,1477,12,0,6,Yes,No,No,meduim
612,Yes,1.9,Yes,6,No,16,0.3,102,seven,7,3161,8,4,3,No,No,No,very_high
1563,No,2.4,No,0,Yes,24,0.2,170,eight,0,3660,7,5,5,Yes,Yes,No,very_high
1191,No,1.3,Yes,16,Yes,26,0.8,84,one,20,1604,14,3,9,Yes,No,Yes,meduim
615,Yes,0.5,Yes,0,No,42,0.6,163,six,4,2211,7,4,18,No,No,Yes,meduim
1893,Yes,2.1,Yes,8,No,63,0.2,134,two,11,3822,14,3,18,No,Yes,Yes,very_high
1563,No,1.7,Yes,10,No,16,0.1,151,seven,13,3922,11,1,8,No,No,Yes,very_high
1995,Yes,1.9,No,6,No,9,0.8,139,six,18,1203,14,12,18,Yes,Yes,Yes,high
1517,No,0.5,No,6,Yes,48,0.6,143,five,14,2822,15,5,11,Yes,Yes,Yes,very_high
832,No,1.6,Yes,1,Yes,34,0.3,108,five,5,447,15,13,12,Yes,Yes,No,low
1162,No,2,No,0,Yes,56,0.7,114,seven,1,1652,5,0,20,Yes,No,No,meduim
1595,Yes,2.6,No,7,No,12,0.3,121,eight,19,3608,15,1,16,No,Yes,No,very_high
1329,Yes,1,No,1,No,52,0.9,181,six,2,1228,8,6,6,Yes,No,Yes,meduim
928,Yes,0.5,Yes,11,No,56,0.7,80,eight,13,666,19,10,5,No,Yes,No,low
1656,Yes,0.5,Yes,8,Yes,38,0.1,105,seven,17,1499,12,8,19,Yes,No,Yes,meduim
1937,Yes,1.7,No,17,No,58,0.6,189,one,19,3321,5,4,14,Yes,Yes,No,very_high
977,Yes,1.1,Yes,2,No,57,0.6,181,six,7,1206,7,1,8,No,Yes,Yes,low
768,Yes,0.9,No,16,Yes,56,0.1,113,one,20,952,19,3,16,Yes,No,Yes,low
1464,Yes,0.5,Yes,11,No,12,0.9,117,two,14,3927,5,3,15,No,Yes,Yes,very_high
1177,No,0.9,No,1,Yes,29,0.4,191,two,8,311,18,5,19,Yes,No,No,low
1348,No,2,No,18,No,52,0.3,98,three,20,955,18,11,7,Yes,Yes,Yes,meduim
1956,No,2.2,No,0,Yes,37,0.5,87,three,2,1109,13,1,19,Yes,Yes,No,meduim
1751,No,0.5,Yes,6,No,8,0.6,178,six,20,2969,8,6,17,No,No,Yes,high
1530,No,2,No,11,No,42,0.8,177,six,13,725,11,10,19,No,No,Yes,low
1997,Yes,1.8,Yes,1,No,40,0.5,185,four,8,1655,7,6,15,Yes,No,No,high
1414,Yes,1.5,Yes,5,No,44,0.5,180,two,6,3490,16,12,13,No,Yes,No,very_high
1707,No,1.4,No,0,No,41,0.8,80,seven,2,1774,12,0,10,No,No,No,high
894,No,0.5,Yes,1,Yes,50,0.5,199,three,14,3615,13,0,6,Yes,No,Yes,very_high
645,No,1.2,No,6,Yes,41,0.7,184,eight,17,714,18,2,13,Yes,Yes,No,low
1163,No,2.8,Yes,0,No,49,0.6,155,two,0,2768,19,2,12,No,No,Yes,high
1126,No,0.7,No,3,No,49,0.9,165,eight,17,3739,14,1,13,Yes,No,No,very_high
1648,No,0.7,No,6,Yes,64,0.8,170,four,9,610,8,1,6,Yes,Yes,No,meduim
1170,Yes,0.9,No,6,Yes,14,0.4,199,two,13,715,18,5,20,Yes,No,Yes,low
508,No,0.8,No,7,Yes,42,0.3,94,one,8,663,13,12,7,Yes,No,No,low
1097,No,2.1,Yes,6,No,64,0.2,161,three,8,1725,14,5,9,Yes,No,Yes,meduim
728,No,1.7,Yes,0,Yes,5,0.6,101,two,20,834,16,0,5,Yes,Yes,No,low
1980,No,0.5,Yes,2,Yes,29,0.8,177,one,13,3865,12,10,18,Yes,No,No,very_high
1504,No,2.3,Yes,1,No,64,0.9,182,one,2,3059,6,5,10,No,Yes,No,very_high
1379,Yes,2.1,Yes,14,Yes,63,1,83,one,17,651,9,6,7,Yes,Yes,No,low
1698,No,2.1,No,5,Yes,18,0.9,160,six,20,796,13,3,14,Yes,No,Yes,low
920,No,2.1,Yes,5,No,25,0.4,115,seven,14,785,10,7,5,No,Yes,Yes,low
1144,Yes,1.5,Yes,0,No,21,0.4,189,one,11,3252,16,0,8,No,No,No,high
1995,Yes,0.5,No,6,No,26,0.2,129,one,15,1322,15,11,7,No,Yes,Yes,meduim
1430,No,0.5,Yes,1,No,27,0.5,183,one,16,2832,7,1,15,No,Yes,Yes,high
972,Yes,0.5,Yes,5,No,13,0.4,193,five,8,1615,11,6,13,No,Yes,No,meduim
662,No,0.5,No,5,No,20,0.8,138,one,10,2125,17,15,15,No,Yes,Yes,meduim
1867,No,2.3,No,0,Yes,9,0.1,191,six,3,990,6,1,2,Yes,No,Yes,meduim
1730,No,2,Yes,0,Yes,20,0.1,143,four,10,1595,14,0,12,Yes,Yes,No,meduim
1723,Yes,1,No,1,Yes,7,0.6,126,three,17,1213,5,0,16,Yes,Yes,Yes,meduim
1882,Yes,1.3,Yes,8,No,47,0.2,140,two,13,2500,17,1,11,No,No,Yes,high
803,No,0.8,Yes,0,No,18,0.3,106,four,1,2801,18,15,12,No,Yes,No,high
580,Yes,1.2,Yes,0,No,47,0.9,91,three,1,3451,15,1,11,Yes,Yes,No,very_high
668,No,2.3,No,2,Yes,48,0.3,114,one,19,1201,14,12,4,Yes,Yes,No,low
1391,No,1.4,No,2,Yes,36,0.8,182,one,6,3139,14,7,14,Yes,Yes,No,high
1560,No,2.3,No,0,Yes,22,0.8,169,seven,1,1938,15,11,16,Yes,Yes,Yes,high
821,No,1.8,Yes,5,No,54,0.1,109,three,9,3185,8,4,15,Yes,No,No,high
811,Yes,2.4,Yes,5,Yes,2,0.3,106,six,13,2111,18,7,2,Yes,No,Yes,meduim
1989,Yes,2.9,Yes,8,No,17,0.1,193,eight,15,2369,7,0,18,Yes,Yes,No,high
1034,Yes,2.7,Yes,6,No,37,0.7,120,seven,20,3625,17,1,12,No,Yes,Yes,very_high
618,No,2.1,No,2,No,6,0.3,86,one,4,1051,13,10,15,No,No,Yes,low
654,Yes,1.3,No,0,Yes,52,0.7,196,four,4,1036,17,4,13,Yes,No,No,meduim
576,Yes,2.8,No,2,Yes,10,0.2,184,five,7,2938,6,0,5,Yes,Yes,Yes,high
667,Yes,0.6,No,6,Yes,3,0.7,185,six,13,2855,5,0,19,Yes,No,Yes,high
869,Yes,1,No,7,Yes,57,0.6,118,one,15,2727,13,3,8,Yes,No,No,high
635,Yes,0.5,Yes,2,No,42,0.4,149,three,4,2973,12,5,18,No,No,Yes,high
609,Yes,3,No,15,Yes,44,0.3,117,one,16,2581,15,11,15,Yes,No,Yes,meduim
1557,No,2.8,Yes,16,No,2,0.1,123,five,20,2690,18,16,9,No,No,Yes,very_high
1604,Yes,1.7,No,2,No,33,1,191,eight,5,916,13,10,12,No,Yes,Yes,low
1182,No,0.5,No,7,Yes,8,0.5,138,eight,16,2563,19,17,19,Yes,No,No,high
848,Yes,2.1,Yes,10,Yes,19,0.8,148,seven,18,3359,10,0,14,Yes,No,No,high
1610,Yes,2.9,No,7,Yes,64,0.9,181,four,12,941,8,4,9,Yes,Yes,No,meduim
1828,Yes,2.1,Yes,0,No,17,0.9,199,one,1,2280,17,14,4,No,No,No,high
880,No,2,Yes,1,Yes,50,0.5,194,seven,3,827,15,9,6,Yes,No,Yes,low
1394,Yes,0.9,Yes,10,Yes,62,0.3,175,five,13,473,11,1,20,Yes,Yes,No,low
1960,Yes,2.3,Yes,1,Yes,61,0.3,86,seven,3,3865,10,7,11,Yes,No,No,very_high
809,No,0.8,No,10,No,21,0.9,91,seven,19,1274,18,7,3,No,No,No,meduim
899,No,0.5,Yes,13,Yes,57,0.9,172,two,18,364,11,1,7,Yes,Yes,No,low
1976,Yes,0.7,Yes,4,No,32,0.8,171,two,7,3699,17,11,13,No,Yes,Yes,very_high
879,No,1.5,Yes,0,Yes,21,0.8,187,four,2,2927,14,13,11,Yes,No,Yes,high
916,Yes,2.6,No,0,No,36,0.3,195,four,12,1470,13,0,14,No,Yes,No,low
763,No,1.7,Yes,8,Yes,2,0.5,92,eight,14,1050,6,4,8,Yes,Yes,No,low
508,No,1.6,Yes,0,No,9,0.4,162,six,2,2616,18,8,10,Yes,Yes,Yes,high
825,No,2.9,Yes,0,No,34,0.8,99,eight,17,2915,8,2,10,Yes,Yes,No,very_high
1864,No,1.4,No,8,Yes,46,0.7,178,one,12,2686,11,7,18,Yes,Yes,Yes,high
1725,No,0.5,Yes,8,Yes,52,1,185,six,12,1243,19,18,5,Yes,Yes,Yes,meduim
1108,Yes,2.9,No,10,No,52,0.1,183,two,12,3264,16,1,13,No,Yes,Yes,very_high
1011,No,1.1,No,4,Yes,36,0.2,131,seven,18,2261,7,6,16,Yes,Yes,Yes,meduim
1703,Yes,1.5,Yes,17,Yes,55,0.7,138,five,19,2993,5,1,20,Yes,Yes,Yes,very_high
1067,Yes,1.7,Yes,0,No,58,0.5,135,seven,0,706,12,9,16,No,Yes,No,low
1334,Yes,2.4,No,5,Yes,42,0.6,115,five,14,2542,10,1,8,Yes,No,No,very_high
775,Yes,2.6,No,0,No,30,0.4,189,seven,10,2523,17,16,9,Yes,No,Yes,high
1899,Yes,0.6,No,0,No,26,0.1,151,two,0,336,13,11,4,Yes,No,Yes,low
930,Yes,1.3,Yes,1,Yes,14,0.4,97,six,10,2457,11,7,17,Yes,Yes,No,meduim
1058,No,1.5,No,2,No,19,0.4,166,four,14,418,9,7,16,No,No,Yes,low
1187,Yes,2.2,No,0,Yes,46,0.4,145,two,9,3917,13,11,8,Yes,No,Yes,very_high
1874,Yes,2.7,Yes,10,No,8,0.9,166,seven,13,1246,8,1,2,No,No,Yes,meduim
1482,No,0.5,No,2,No,48,0.2,142,seven,10,2971,12,8,12,Yes,Yes,Yes,high
1809,Yes,1.7,No,3,Yes,59,0.1,174,three,4,2324,10,6,16,Yes,No,Yes,high
864,Yes,3,Yes,0,Yes,54,0.7,187,two,1,3121,18,2,16,Yes,Yes,Yes,high
625,Yes,1.9,No,12,Yes,33,0.2,191,one,20,3801,10,6,2,Yes,No,No,high
1880,Yes,1.8,No,4,Yes,18,0.7,138,three,5,3333,17,15,7,Yes,No,No,very_high
1138,No,1.4,No,12,Yes,44,0.2,187,eight,17,3475,19,3,3,Yes,No,No,very_high
560,No,0.5,No,14,No,23,1,146,eight,15,2360,17,16,18,No,Yes,Yes,meduim
1117,No,0.5,No,1,No,12,0.6,144,seven,8,2895,7,6,16,Yes,Yes,No,high
1712,No,1.4,No,1,No,63,0.5,137,seven,12,3652,16,1,19,Yes,No,No,very_high
1836,Yes,1.7,Yes,3,No,26,0.1,134,six,16,3097,5,0,18,No,Yes,No,very_high
1036,Yes,2.4,No,0,No,39,0.2,119,seven,3,2101,10,7,2,No,Yes,No,meduim
1860,Yes,2.3,No,15,No,23,0.6,162,four,16,3918,9,2,8,No,Yes,No,very_high
1375,Yes,1.1,No,3,Yes,9,0.9,145,seven,19,3869,19,18,10,Yes,Yes,Yes,very_high
1945,No,1.6,Yes,0,Yes,57,0.3,195,four,1,732,14,1,14,Yes,Yes,No,meduim
1896,No,0.5,Yes,8,Yes,7,0.4,141,two,13,3684,9,7,18,Yes,No,No,very_high
788,No,2.5,Yes,4,Yes,57,0.9,91,eight,12,3969,12,8,6,Yes,Yes,Yes,very_high
880,Yes,1.7,Yes,0,No,33,0.7,173,two,2,1414,12,1,7,Yes,Yes,No,low
1323,Yes,2.5,Yes,10,Yes,28,0.2,131,four,12,1892,10,0,15,Yes,Yes,Yes,meduim
1868,No,2,Yes,0,Yes,42,0.2,169,one,4,3131,8,3,7,Yes,Yes,Yes,very_high
1266,No,1.9,Yes,0,Yes,7,0.2,184,three,12,2532,10,5,4,Yes,Yes,Yes,high
1042,No,2.7,Yes,16,Yes,50,0.8,93,seven,18,3215,18,0,20,Yes,Yes,Yes,very_high
1479,No,0.5,No,8,No,19,0.6,156,three,10,3323,13,12,6,Yes,No,Yes,very_high
1476,Yes,1.2,Yes,0,Yes,55,0.1,171,four,5,1529,13,8,3,Yes,No,Yes,high
1552,Yes,2.2,No,6,Yes,13,0.2,123,six,9,2403,9,2,9,Yes,Yes,Yes,high
1454,Yes,0.5,Yes,1,No,34,0.7,83,four,3,3419,7,5,5,Yes,Yes,No,very_high
1007,No,2,No,0,No,45,0.1,95,five,2,3648,9,0,16,No,No,No,very_high
652,Yes,2.4,Yes,9,Yes,17,0.7,173,five,11,1974,12,10,12,Yes,No,No,low
1504,No,1.5,No,12,Yes,34,0.7,142,eight,15,2806,7,2,7,Yes,No,Yes,high
1726,Yes,0.9,Yes,2,No,51,0.6,193,four,3,2239,13,9,13,Yes,No,Yes,high
1029,Yes,1.9,Yes,5,Yes,5,0.2,171,five,8,582,15,7,4,Yes,Yes,Yes,low
1582,No,2.8,No,2,Yes,44,0.5,112,six,13,3890,17,10,10,Yes,Yes,Yes,very_high
1478,Yes,0.8,Yes,12,No,48,0.7,99,five,17,1141,5,2,6,No,No,Yes,meduim
1178,Yes,1.3,No,0,No,49,0.6,101,five,0,2511,6,3,17,No,No,No,high
707,No,2.1,Yes,2,No,25,0.8,131,three,17,3838,9,2,7,Yes,No,Yes,very_high
755,Yes,2.8,No,5,Yes,51,0.3,186,four,12,2734,10,1,16,Yes,No,Yes,high
912,Yes,2,No,1,No,54,0.3,161,eight,5,2330,19,5,20,No,Yes,No,meduim
651,Yes,0.8,Yes,2,Yes,63,0.2,176,five,4,2244,14,9,19,Yes,Yes,No,meduim
1483,No,2.1,No,1,Yes,54,0.2,176,seven,2,1851,15,13,2,Yes,Yes,No,meduim
914,Yes,0.9,No,2,No,4,0.8,100,two,12,808,11,7,5,Yes,Yes,No,low
1456,Yes,0.5,Yes,7,No,7,0.4,105,five,12,1587,6,5,20,Yes,No,Yes,meduim
1178,No,2.2,Yes,6,No,57,0.3,84,three,17,2492,16,14,10,Yes,Yes,No,high
1503,Yes,0.7,No,10,Yes,43,0.2,166,four,14,2122,15,1,2,Yes,No,No,high
1681,Yes,2.5,No,2,No,11,0.4,158,two,13,1122,12,6,16,No,Yes,Yes,low
715,No,2.3,Yes,4,No,48,0.1,160,four,6,3709,14,2,10,No,No,No,high
1876,No,2.8,Yes,3,Yes,56,0.4,182,three,4,3021,12,2,18,Yes,No,No,high
1190,Yes,2.2,Yes,9,No,47,0.3,186,six,10,624,9,3,19,Yes,Yes,Yes,low
1755,Yes,1.3,No,0,Yes,24,0.1,134,seven,2,3937,8,1,7,Yes,No,Yes,very_high
1197,No,1.3,No,3,Yes,20,0.5,149,six,7,1797,19,5,4,Yes,Yes,Yes,meduim
1048,Yes,0.9,No,10,Yes,28,0.8,194,two,19,1458,5,1,15,Yes,No,Yes,meduim
1887,Yes,3,Yes,6,Yes,17,0.2,126,eight,7,3348,18,16,16,Yes,Yes,No,very_high
1772,Yes,0.5,Yes,3,No,64,0.7,116,eight,15,1834,5,2,20,No,Yes,Yes,meduim
1421,No,2.8,No,0,Yes,57,0.4,165,one,2,2775,13,8,14,Yes,No,Yes,very_high
1464,No,0.5,Yes,0,Yes,17,0.7,153,six,8,1277,13,6,19,Yes,No,No,meduim
728,No,2.3,Yes,4,No,23,0.8,111,four,5,457,17,10,16,Yes,Yes,Yes,low
954,Yes,0.5,No,0,No,50,0.3,134,two,11,438,17,0,2,Yes,No,No,low
685,No,0.5,Yes,8,Yes,13,0.8,82,seven,15,3210,15,7,2,Yes,Yes,Yes,very_high
1472,No,2.8,Yes,1,No,36,0.5,130,six,10,985,12,11,7,Yes,Yes,No,meduim
853,Yes,2,No,10,Yes,3,0.6,200,two,16,3701,15,8,8,Yes,Yes,No,very_high
1469,No,2.1,No,0,No,8,0.7,123,seven,0,1052,8,1,3,No,Yes,No,low
1310,Yes,2.3,Yes,6,No,57,0.9,135,eight,9,1175,16,0,8,No,No,No,low
1654,No,1.8,No,1,No,11,0.3,146,seven,2,1070,8,1,14,Yes,Yes,Yes,meduim
902,Yes,0.7,No,3,No,3,0.3,134,seven,9,3411,12,11,15,No,No,Yes,very_high
1448,No,1.4,Yes,13,No,26,1,156,three,16,1175,12,9,6,No,Yes,No,meduim
1631,No,0.9,Yes,2,Yes,3,0.1,198,seven,12,301,13,5,13,Yes,No,No,low
1608,No,1.8,Yes,7,No,28,0.4,183,two,13,489,15,11,8,No,No,Yes,low
1991,Yes,2.7,No,5,Yes,64,0.9,145,two,13,1733,5,3,8,Yes,Yes,No,high
1349,No,2,Yes,15,No,62,0.3,114,five,16,2756,11,3,4,Yes,No,No,high
1589,No,2.5,No,5,Yes,51,0.8,195,one,18,2612,8,2,16,Yes,No,No,high
1844,Yes,2.3,Yes,1,No,51,0.7,158,eight,3,1724,5,1,14,No,Yes,Yes,meduim
712,Yes,0.5,Yes,3,Yes,35,0.2,84,two,10,2190,16,12,4,Yes,Yes,Yes,meduim
972,Yes,1.7,No,0,Yes,54,0.7,107,three,4,1900,16,8,19,Yes,No,Yes,meduim
1406,No,0.5,Yes,2,Yes,34,0.8,98,three,5,3915,9,8,2,Yes,No,Yes,very_high
1289,No,0.9,No,10,Yes,25,1,178,six,12,1043,6,2,11,Yes,Yes,No,low
932,No,1.3,No,1,No,64,0.7,154,seven,2,3817,8,7,9,Yes,Yes,Yes,very_high
1747,Yes,0.9,No,6,Yes,48,0.7,94,three,19,2362,17,2,19,Yes,Yes,No,high
1172,Yes,2.1,Yes,4,No,41,0.1,95,three,7,1107,7,3,5,No,No,No,meduim
1128,Yes,1.4,No,12,No,53,0.4,84,five,14,2982,14,9,12,Yes,Yes,No,very_high
664,No,1.2,Yes,0,No,28,0.9,106,five,5,2042,17,15,19,Yes,Yes,No,meduim
513,Yes,0.5,No,6,Yes,44,0.1,186,four,12,1343,5,1,9,Yes,Yes,No,low
1742,No,2.3,Yes,9,Yes,43,0.4,170,seven,12,2610,12,3,10,Yes,No,Yes,high
1512,Yes,1.7,No,12,No,6,0.7,162,seven,17,2335,15,7,7,Yes,Yes,Yes,high
1986,No,0.5,Yes,3,Yes,51,0.1,165,eight,20,1614,17,12,3,Yes,Yes,Yes,meduim
965,Yes,1.5,Yes,5,No,13,1,109,two,14,1138,9,8,10,No,Yes,No,low
1067,Yes,2.4,Yes,3,Yes,40,0.6,122,eight,15,604,16,14,11,Yes,No,No,low
1583,Yes,1.6,No,5,Yes,42,0.8,118,three,10,3652,14,10,9,Yes,No,No,very_high
1653,No,0.5,Yes,2,Yes,37,0.9,176,four,6,3955,19,4,18,Yes,Yes,Yes,very_high
1433,No,1.6,No,7,No,4,0.7,133,eight,11,258,11,9,4,Yes,Yes,Yes,low
765,No,2.9,No,0,Yes,18,0.1,153,seven,0,1066,11,1,16,Yes,Yes,No,low
1845,Yes,0.5,Yes,10,No,61,0.3,96,one,12,1731,9,5,6,No,No,No,meduim
752,No,0.5,Yes,1,No,48,0.7,87,seven,13,3860,7,5,16,No,No,No,very_high
1948,No,2.8,Yes,8,No,16,0.1,100,five,10,3630,9,7,17,No,Yes,No,very_high
1077,No,2.5,Yes,0,Yes,45,1,174,three,4,1965,6,2,6,Yes,Yes,No,meduim
932,Yes,0.5,No,1,Yes,60,0.7,104,four,2,1459,6,1,19,Yes,Yes,No,low
1968,No,0.9,No,0,No,22,0.8,115,three,7,2323,9,8,7,No,No,Yes,high
1122,No,1.2,No,9,No,2,0.6,120,four,14,3291,11,2,13,Yes,Yes,Yes,high
1588,No,0.5,No,0,Yes,61,0.8,159,one,13,3272,18,0,17,Yes,Yes,No,very_high
601,No,2.1,No,4,No,26,0.3,101,four,18,918,9,1,12,No,No,No,low
1615,No,0.5,No,14,No,15,0.1,132,four,16,3488,16,2,3,No,No,Yes,very_high
1589,Yes,2.2,Yes,2,No,58,0.1,128,four,4,3961,16,14,14,Yes,No,Yes,very_high
1417,Yes,2.7,No,2,Yes,56,0.9,114,six,4,590,11,3,6,Yes,No,Yes,low
1697,Yes,0.7,No,1,Yes,34,0.1,95,one,3,3701,15,9,8,Yes,Yes,No,very_high
1330,Yes,1.3,Yes,14,No,3,0.3,83,five,17,463,14,6,11,No,No,Yes,low
1476,No,0.5,No,0,Yes,43,0.7,148,two,2,3644,15,10,6,Yes,No,Yes,very_high
1579,Yes,1.5,No,0,No,27,0.2,142,six,18,1713,16,4,10,Yes,Yes,Yes,meduim
1277,No,3,No,0,Yes,41,0.3,200,four,3,429,9,4,14,Yes,Yes,Yes,low
1089,Yes,0.9,Yes,12,Yes,2,0.7,145,five,15,2765,13,12,10,Yes,No,Yes,high
1663,Yes,2.5,Yes,13,Yes,27,0.3,169,four,14,2084,7,1,18,Yes,No,No,high
1949,No,1.8,No,0,No,20,0.8,186,five,4,1125,17,10,9,No,No,No,meduim
1138,No,1.1,No,5,Yes,48,0.6,109,three,14,2048,6,0,18,Yes,Yes,Yes,high
685,No,2.7,No,7,No,17,0.3,174,six,20,1223,8,0,18,Yes,No,Yes,low
1889,No,2.8,No,5,Yes,31,1,132,one,10,3672,5,1,3,Yes,Yes,Yes,very_high
857,Yes,2,Yes,3,No,17,0.2,195,seven,9,3100,17,5,13,Yes,Yes,No,high
1902,No,2.8,Yes,6,No,50,0.8,124,eight,9,343,11,8,18,No,Yes,No,low
1225,Yes,2.4,No,0,No,15,0.1,155,five,0,1970,16,8,15,Yes,Yes,No,meduim
1066,No,1.6,No,5,No,39,0.6,131,five,17,2728,6,0,17,Yes,Yes,Yes,high
1554,Yes,0.5,Yes,11,No,5,1,124,three,12,3635,7,4,18,No,No,No,very_high
1337,No,0.5,No,13,No,31,0.8,186,two,20,2180,7,4,16,Yes,No,Yes,meduim
1926,Yes,1.7,Yes,1,Yes,33,0.4,172,three,2,2488,6,1,14,Yes,No,No,high
869,No,1.3,Yes,3,No,34,0.1,104,two,4,3864,13,3,11,Yes,No,No,very_high
1278,Yes,0.5,Yes,1,No,54,0.1,104,eight,16,1155,7,1,20,No,No,Yes,low
1773,Yes,2.5,No,16,Yes,32,0.6,170,six,18,3566,17,6,13,Yes,No,Yes,very_high
1661,Yes,0.8,Yes,1,Yes,6,1,109,seven,2,864,9,8,2,Yes,No,Yes,meduim
1438,No,2.2,No,0,Yes,32,0.6,176,seven,6,869,19,13,9,Yes,Yes,Yes,low
1661,Yes,1.4,No,0,No,29,0.3,119,two,0,591,9,2,9,Yes,Yes,Yes,low
1846,Yes,0.6,No,1,No,19,0.7,159,one,2,1333,15,6,11,No,Yes,Yes,meduim
1260,Yes,2,Yes,2,Yes,23,0.2,123,seven,10,2208,12,11,10,Yes,No,Yes,high
512,Yes,0.5,Yes,7,No,15,0.9,83,three,15,2610,18,14,15,No,Yes,Yes,high
581,No,2.2,No,0,No,59,0.7,185,five,6,2819,19,17,9,No,No,Yes,high
1872,Yes,2.3,No,6,No,44,0.7,134,three,15,1955,9,4,15,Yes,No,Yes,high
687,Yes,1.3,No,9,Yes,50,0.6,151,four,20,3416,14,6,8,Yes,Yes,No,very_high
1062,Yes,2.5,Yes,6,No,10,0.9,160,one,13,3803,7,3,16,No,No,Yes,very_high
1678,Yes,2.3,Yes,11,No,7,0.5,192,one,14,574,5,3,19,Yes,No,No,low
1417,Yes,0.5,No,10,Yes,45,0.9,166,four,19,2129,13,9,12,Yes,No,Yes,meduim
1074,No,2.4,Yes,2,Yes,9,0.9,103,six,14,1948,13,1,18,Yes,Yes,Yes,meduim
1832,No,0.7,No,2,No,2,0.6,90,seven,6,2978,18,7,18,No,No,No,high
1039,No,1.3,No,0,Yes,12,0.8,200,eight,0,1619,7,1,10,Yes,Yes,Yes,meduim
1059,No,2.4,No,8,No,61,0.1,134,three,18,3716,15,13,11,Yes,Yes,No,very_high
1606,No,1.4,No,3,No,57,0.1,154,four,4,3454,13,8,20,No,No,Yes,very_high
1928,Yes,1.8,No,9,Yes,19,1,187,three,20,3777,7,2,13,Yes,Yes,Yes,very_high
1875,Yes,0.5,Yes,11,Yes,55,0.7,91,one,17,2712,7,2,6,Yes,No,Yes,very_high
1128,Yes,1.1,No,9,Yes,46,0.9,135,eight,10,1434,5,0,11,Yes,No,No,meduim
1748,No,1.7,Yes,6,Yes,14,0.5,146,three,7,3968,16,12,3,Yes,No,Yes,very_high
1413,No,0.5,Yes,5,No,51,0.3,117,five,11,3383,16,5,2,No,No,No,very_high
825,No,0.5,Yes,0,Yes,23,0.1,86,two,0,3278,8,6,2,Yes,No,Yes,very_high
1589,Yes,1.4,No,3,Yes,26,0.1,100,eight,16,3970,16,8,18,Yes,No,Yes,very_high
535,Yes,0.5,Yes,8,Yes,54,0.5,145,eight,15,2674,14,8,10,Yes,No,No,high
1780,Yes,0.5,No,6,No,27,0.1,190,four,11,2776,19,17,14,Yes,Yes,Yes,very_high
1671,No,0.6,Yes,7,Yes,61,0.1,129,two,11,2336,10,4,7,Yes,No,No,high
1821,No,0.9,No,9,Yes,12,0.3,114,one,18,2430,7,4,6,Yes,Yes,Yes,high
1076,Yes,2.6,No,3,Yes,38,0.7,119,six,8,891,18,3,9,Yes,Yes,No,low
532,Yes,0.8,Yes,3,No,8,0.1,193,five,10,728,13,5,8,Yes,Yes,No,low
777,Yes,2.6,No,3,No,30,0.9,148,five,17,3886,14,10,7,Yes,No,No,very_high
1217,Yes,0.5,No,3,No,17,0.5,182,four,13,1711,7,3,9,Yes,No,Yes,meduim
1656,Yes,1.6,Yes,0,No,16,1,117,seven,2,2856,14,3,20,Yes,Yes,Yes,high
1185,No,1.9,No,0,No,31,0.4,152,eight,7,2447,16,2,3,Yes,Yes,Yes,high
577,No,2.4,No,8,Yes,37,0.9,161,six,20,814,11,7,19,Yes,Yes,Yes,low
737,Yes,2.4,Yes,7,No,49,0.6,193,four,16,2951,7,0,10,No,Yes,No,high
704,No,2.2,Yes,4,No,53,0.2,186,six,6,3653,7,1,15,Yes,Yes,Yes,high
